index,brand,title,price
221,联想（lenovo）,联想拯救者R7000 锐龙R5学生吃鸡游戏本Pr设计办公全面屏,5899.00
222,联想（lenovo）,15.6英寸全面屏超轻薄,5599.00
223,联想（lenovo）,联想轻薄本威6 英特尔酷睿四核i5 14英寸全新超极本小轻薄便携商务办公本新学生窄边框,4599.00
224,联想（lenovo）,联想,3999.00
225,联想（lenovo）,联想,4199.00
226,联想（lenovo）,联想拯救者y7000 2020高端款英特尔十代酷睿电竞游戏本pr 100%高色域设计,7299.00
227,联想（lenovo）,"	
【二手9成新】联想（Lenovo）15.6寸拯救者/Y700/R720/y7000吃鸡游戏",2388.00
228,联想（lenovo）,联想拯救者Y9000X 2021/2020轻薄电竞游戏,6699.00
229,联想（lenovo）,联想拯救者Y7000 15.6英寸十代标压酷睿i5高色域屏RTX2060独显游戏本轻薄手提,6899.00
230,联想（lenovo）,联想小新Pro14 2021新品英特尔11代酷睿i5 超轻薄,6399.00
231,联想（lenovo）,联想（Lenovo)拯救者R7000 15.6英寸高色域六/八核锐龙1650Ti游戏p图,6599.00
232,联想（lenovo）,联想(Lenovo)YOGA14s 2021款高性能轻薄商务办公全面屏,6699.00
233,联想（lenovo）,联想（Lenovo）V14 十代酷睿i7独显高性能14英寸超轻薄办公游戏手提学生,5966.00
234,联想（lenovo）,联想小新Air15 2021八核旗舰锐龙R7高性能,5999.00
235,联想（lenovo）,联想（Lenovo）扬天V14 14英寸商务办公轻薄便携网课,4199.00
236,联想（lenovo）,联想V14 14英寸高性能酷睿十代i7四核窄边框超薄本轻薄学生设计游戏超极本商务办公手提,6799.00
237,联想（lenovo）,联想拯救者Y9000X 15.6英寸轻薄本游戏本酷睿九代标压PR设计Y9000X设计师办公,6199.00
238,联想（lenovo）,14英寸锐龙八核R7超薄本高性能设计商务办公学生全面屏游戏轻薄手提,5799.00
239,联想（lenovo）,联想拯救者y7000 2020高端款英特尔十代酷睿电竞游戏本pr 100%高色域设计,7099.00
240,联想（lenovo）,联想威6 2021款英特尔酷睿i5/i7 14英寸高性能游戏设计学生超薄本轻薄商务办公手提,7299.00
241,联想（lenovo）,联想拯救者Y7000 十代i7六核15.6英寸3D设计制图轻薄手提游戏,7399.00
242,联想（lenovo）,联想拯救者Y7000 2020新品酷睿i5/i7十代P高色域性能独显游戏本 吃鸡学生设计师,6099.00
243,联想（lenovo）,联想拯救者Y7000P 2020专业电竞游戏,8299.00
244,联想（lenovo）,联想(Lenovo)拯救者R7000 锐龙R5六核芯高性能游戏本p 15.6英寸高色域吃鸡,6399.00
245,联想（lenovo）,联想（Lenovo)游戏本 拯救者Y7000 15.6英寸全高清游戏,7499.00
